removedSharedSourcePage,affectedRows,distinctIdentities,correction
https://www.seroyal.com/ultra-epa-dha-liquid-us.html/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://www.thorne.com/products/dp/daily-electrolytes-blood-orange/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/5-htp-supreme-60-capsules-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/5-htp-synergy-90-vegetarian-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/acetyl-l-carnitine-90-veg-caps-designs-for-health-soi/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/adk-evail-60-softgel-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/adrenal-complex-120-capsules-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/aloe-200x-60-capsules-designs-for-health/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/atp-fuel-150-capsules-researched-nutritionals/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/b-supreme-120-capsules-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/b12-adenosyl-hydroxy-90-capsules-pure-encapsulations/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/bdnf-essentials-120-capsules-researched-nutritionals/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/betaine-hcl-120-capsules-enzyme-science/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/bio-gest-biogest-180-veg-caps-thorne/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/boswellia-60-veg-caps-pure-encapsulations/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/brain-vitale-60-caps-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/broccoprotect-90-veg-caps-designs-for-health/,4,2,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/calcium-d-glucarate-60-capsules-designs-for-health-soi/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/copper-glycinate-60-caps-pure-encapsulations/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/cortisol-calm-60-capsules-pure-encapsulations-soi/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/cytoquel-90-capsules-researched-nutritionals/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/detox-antiox-60-capsules-designs-for-health/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/dgl-plus-60-capsules-pure-encapsulations/,4,4,REMOVED_AS_AUTHORITATIVE_SOURCE
https://yourhealthbasket.co.uk/product/digestive-enzymes-ultra-90-caps-pure-encapsulations/,4,3,REMOVED_AS_AUTHORITATIVE_SOURCE
