batchIndex,immutableKey,brand,productName,size,format,sku,removedSharedSourcePage,officialDomains,variantSpecificSearchQuery,requiredResolution,targetJpgPath
18380,us:seroyal-genestra-ginkgo-bud-liquid-b92e44e9:0,Seroyal/Genestra,Ginkgo Bud Liquid,0.5 fl oz,Liquid,,https://www.healthpalace.ca/genestra-phyto-gen-ginkgo-bud-15-ml/,seroyal.com,"""Seroyal/Genestra"" ""Ginkgo Bud Liquid"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/c8bd710603f219f1b2501f4f.jpg
18381,us:seroyal-genestra-gla-130-primrose-oil-56dfa72c:0,Seroyal/Genestra,GLA 130 Primrose Oil,24.75,Topical,,https://www.seroyal.com/gla-130-primrose-oil-1.html/,seroyal.com,"""Seroyal/Genestra"" ""GLA 130 Primrose Oil"" ""24.75"" ""Topical"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/d683413c067be312e0ddf5b3.jpg
18382,us:seroyal-genestra-gla-130-primrose-oil-56dfa72c:1,Seroyal/Genestra,GLA 130 Primrose Oil,90,Topical,,https://www.seroyal.com/gla-130-primrose-oil-1.html/,seroyal.com,"""Seroyal/Genestra"" ""GLA 130 Primrose Oil"" ""90"" ""Topical"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/338f35f4ca2f394982bd4b62.jpg
18383,us:seroyal-genestra-glutathione-precursors-79142f0a:0,Seroyal/Genestra,Glutathione Precursors,18.32,,,https://www.seroyal.com/glutathione-precursors-1.html/,seroyal.com,"""Seroyal/Genestra"" ""Glutathione Precursors"" ""18.32"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/4908381f654ac06874bfb6d3.jpg
18384,us:seroyal-genestra-glutathione-precursors-79142f0a:1,Seroyal/Genestra,Glutathione Precursors,30,,,https://www.seroyal.com/glutathione-precursors-1.html/,seroyal.com,"""Seroyal/Genestra"" ""Glutathione Precursors"" ""30"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/9bb9fbf2d6ee54edf11f6fec.jpg
18385,us:seroyal-genestra-had-b4948826:0,Seroyal/Genestra,HAD,1 fl oz,Liquid,,https://www.seroyal.com/had-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HAD"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/121bda9c32ab01d327725786.jpg
18386,us:seroyal-genestra-had-liquid-52ebb67f:0,Seroyal/Genestra,HAD Liquid,1 fl oz,Liquid,,https://www.seroyal.com/had-1.html/,seroyal.com,"""Seroyal/Genestra"" ""HAD Liquid"" ""1 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/e57e1cfb59a186b867c79e9f.jpg
18387,us:seroyal-genestra-hawthorn-young-shoot-fd17572e:0,Seroyal/Genestra,Hawthorn Young Shoot,0.5 fl oz,Liquid,,https://www.nationalnutrition.ca/genestra-hawthorn-young-shoot-15ml.html/,seroyal.com,"""Seroyal/Genestra"" ""Hawthorn Young Shoot"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/f0d2a23d056f4f9120dc88ab.jpg
18388,us:seroyal-genestra-hawthorn-young-shoot-liquid-1390b4e2:0,Seroyal/Genestra,Hawthorn Young Shoot Liquid,0.5 fl oz,Liquid,,https://www.nationalnutrition.ca/genestra-hawthorn-young-shoot-15ml.html/,seroyal.com,"""Seroyal/Genestra"" ""Hawthorn Young Shoot Liquid"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/fce5fd85fe9b6ef618cd5b5b.jpg
18389,us:seroyal-genestra-heather-young-shoot-e6d7c726:0,Seroyal/Genestra,Heather Young Shoot,0.5 fl oz,Liquid,,https://www.healthpalace.ca/genestra-phyto-gen-heather-young-shoot-15-ml/,seroyal.com,"""Seroyal/Genestra"" ""Heather Young Shoot"" ""0.5 fl oz"" ""Liquid"" official product bottle package",UNIQUE_EXACT_PRODUCT_PACKAGE_IMAGE,assets/product-images/catalogue-v28/b357584339f7627cf9fad8b0.jpg
